location;population;HighestInfectionCount;PercentPopulationInfected
Cyprus;896007;653667;72,9533363020602
San Marino;33690;23747;70,4867913327397
Austria;8939617;6003506;67,1561880111866
Faeroe Islands;53117;34658;65,2484138787959
Slovenia;2119843;1336426;63,0436310613569
Gibraltar;32677;20462;62,6189674694739
Brunei;449002;280790;62,536469770736
Martinique;367512;229267;62,3835412177017
Andorra;79843;47908;60,0027554074872
Jersey;110796;66391;59,9218383335138
South Korea;51815808;30702960;59,2540407745837
Saint Pierre and Miquelon;5885;3418;58,0798640611725
Denmark;5882259;3405709;57,8979776307028
Greece;10384972;5920428;57,0095711379867
France;67813000;38623552;56,9559700942297
Iceland;372903;209191;56,0979664953084
Guernsey;63329;35139;55,4864280187592
Liechtenstein;39355;21454;54,5140388768898
Portugal;10270857;5573509;54,2652769871102
Latvia;1850654;976535;52,7670218203943
Guadeloupe;395762;202004;51,0417877411171
Israel;9449000;4809664;50,9013017250503
Reunion;974062;494595;50,7765419449686
Falkland Islands;3801;1923;50,5919494869771
Switzerland;8740471;4394296;50,275276927296
Saint Barthelemy;10994;5459;49,6543569219574
Luxembourg;647601;318951;49,2511592786299
Netherlands;17564020;8605996;48,9978717856163
Georgia;3744385;1831771;48,9204769274527
Lithuania;2750058;1311432;47,687430592373
Seychelles;107135;50937;47,5446866103514
Bahrain;1472237;696614;47,3167024059306
Estonia;1326064;615727;46,4326759492754
Montenegro;627082;289292;46,1330416117828
Germany;83369840;38306781;45,9480082965255
Cayman Islands;68722;31472;45,7961060504642
Isle of Man;84534;38008;44,9617905221568
Monaco;36491;16135;44,216382121619
Czechia;10493990;4627435;44,0960492624826
Bonaire Sint Eustatius and Saba;27052;11811;43,6603578293657
Australia;26177410;11380700;43,4752712357716
Italy;59037472;25651205;43,4490233592658
Nauru;12691;5393;42,4946812701915
New Zealand;5185289;2196555;42,3612840094352
Aruba;106459;44082;41,4074902074977
Cook Islands;17032;7033;41,2928604978863
Belgium;11655923;4757448;40,8157123206802
European Union;450146793;182927871;40,637381815136
Saint Helena;5401;2166;40,1036845028698
Singapore;5637022;2245348;39,8321667007863
Saint Martin (French part);31816;12276;38,5843600704048
Niue;1952;747;38,2684426229508
Barbados;281646;106798;37,9192319436456
Marshall Islands;41593;15723;37,8020339961051
Serbia;6871547;2509089;36,5141794125835
United Kingdom;67508936;24448729;36,2155448576467
Maldives;523798;185755;35,4630983699823
Puerto Rico;3252412;1104424;33,9570755488542
Ireland;5023108;1705295;33,9490012956122
High income;1250514600;417910867;33,419111380227
Europe;744807803;247480240;33,2273962494993
Palau;18084;5995;33,1508515815085
Slovakia;5643455;1864741;33,0425422015414
French Guiana;304568;98041;32,1901841296525
Montserrat;4413;1403;31,7924314525266
Croatia;4030361;1270075;31,5126858363308
Oceania;45038860;14064260;31,2269449093516
United States;338289856;102544598;30,3126434864189
Uruguay;3422796;1035046;30,2397805770487
Guam;171783;50955;29,6624229405704
Mongolia;3398373;1007907;29,6585160016278
Wallis and Futuna;11596;3427;29,5532942393929
Bermuda;64207;18836;29,3363651938262
Spain;47558632;13783163;28,9814118286666
Northern Mariana Islands;49574;13722;27,6798321700892
New Caledonia;289959;80032;27,6011436099587
Norway;5434324;1480136;27,2368007501945
Japan;123951696;33374303;26,9252491712578
Chile;19603736;5233460;26,6962379007757
Finland;5540745;1464294;26,4277457273345
Sweden;10549349;2700231;25,5961860774537
French Polynesia;306292;78101;25,4988703590038
United States Virgin Islands;99479;24831;24,9610470551574
Sint Maarten (Dutch part);44192;11023;24,9434286748733
Anguilla;15877;3904;24,5890281539334
Tuvalu;11335;2779;24,5169827966476
Curacao;191173;45787;23,950557871666
Costa Rica;5180836;1219074;23,5304495259066
Panama;4408582;1032939;23,4301868491955
British Virgin Islands;31332;7305;23,3148219073152
Mauritius;1299478;296042;22,7816092307834
Lebanon;5489744;1233817;22,4749460084113
Malta;533293;117898;22,107546883233
Argentina;45510324;10044957;22,0718204511135
Hungary;9967304;2197820;22,0502956466463
Dominica;72758;15760;21,6608482915968
Micronesia (country);114178;24195;21,1905971378024
Greenland;56494;11971;21,1898608701809
North America;600323657;123085673;20,5032188161794
Turkey;85341248;17004677;19,9255077685295
Bulgaria;6781955;1298608;19,1479890385589
American Samoa;44295;8321;18,7854159611694
Moldova;3272993;613886;18,7561048862616
Qatar;2695131;496802;18,4333154863344
Belize;405285;70782;17,4647470298679
Brazil;215313504;37145514;17,2518273633223
Romania;19659270;3359839;17,0903548300624
Saint Lucia;179872;30028;16,6940935776552
North Macedonia;2093606;347327;16,5898932272835
Poland;39857144;6477600;16,2520425447443
Armenia;2780472;447730;16,1026617063578
Tonga;106867;16813;15,7326396361833
Grenada;125459;19680;15,6863995408859
South America;436816679;68106350;15,5915177405577
Kuwait;4268886;664772;15,5724936201154
Russia;144713312;22525882;15,5658672230513
Jordan;11285875;1746997;15,4794998172494
Kosovo;1782115;273517;15,3478872014432
Malaysia;33938216;5045192;14,8658138070663
Turks and Caicos Islands;45726;6561;14,3485106941346
Saint Kitts and Nevis;47681;6597;13,8356997546192
Ukraine;39701744;5427360;13,6703314594946
Palestine;5250076;703228;13,3946251444741
Suriname;618046;82467;13,3431815754814
Peru;34049588;4489377;13,1848203273414
Mayotte;326113;42004;12,8801979681889
Botswana;2630300;329785;12,5379234307874
Bosnia and Herzegovina;3233530;401973;12,4313985025653
Trinidad and Tobago;1531043;190285;12,4284556344923
Colombia;51874028;6361293;12,2629632694033
Canada;38454328;4618059;12,0092047896403
Albania;2842318;333726;11,7413322506489
Vietnam;98186856;11527139;11,7400021444826
United Arab Emirates;9441138;1055334;11,1780380712579
Paraguay;6780745;735759;10,8507103570478
Cape Verde;593162;63251;10,6633600938698
Belarus;9534956;994037;10,4251870695575
Cuba;11212198;1112724;9,92422716759016
Bolivia;12224114;1195171;9,7771584918138
Antigua and Barbuda;93772;9106;9,71078786844687
Upper middle income;2525921300;242747582;9,61025911614903
World;7975105024;761071062;9,54308513442343
Tunisia;12356116;1151333;9,31791996773096
Saint Vincent and the Grenadines;103959;9593;9,22767629546263
Bahamas;409989;37491;9,14439167880114
Guyana;808727;73105;9,03951518868543
Oman;4576300;399449;8,72864541223259
Iran;88550568;7580858;8,56104954628863
Pitcairn;47;4;8,51063829787234
Bhutan;782457;62647;8,00644636063068
Azerbaijan;10358078;829271;8,00603162092427
Kazakhstan;19397998;1500207;7,7338238719274
Libya;6812344;507206;7,4453961808153
Fiji;929769;68904;7,41087302329934
Samoa;222390;16427;7,38657313728135
China;1425887360;99229372;6,95913118971754
Guatemala;17843914;1241016;6,95484185812597
South Africa;59893884;4068224;6,7923863478281
Namibia;2567024;171208;6,66951302364138
Thailand;71697024;4728482;6,59508824243528
Asia;4721383370;295265312;6,25378811380021
Eswatini;1201680;74323;6,18492443911857
Mexico;127504120;7511450;5,89114296855662
Dominican Republic;11228821;660848;5,88528394922316
Ecuador;18001002;1058004;5,87747282067965
Iraq;44496124;2465545;5,54103319201466
Jamaica;2827382;154471;5,46339334409005
Honduras;10432858;472340;4,52742671279529
Kiribati;131237;5014;3,82056889444288
Vanuatu;326744;12014;3,67688465587738
Philippines;115559008;4078994;3,5297931944864
Morocco;37457976;1272585;3,39736722560771
Solomon Islands;724272;24575;3,39306227494643
Nepal;30547586;1001185;3,27746028769671
Vatican;808;26;3,21782178217822
El Salvador;6336393;201785;3,18454047910223
India;1417173120;44696984;3,15395369621462
Kyrgyzstan;6630621;206740;3,11795833301285
Sri Lanka;21832150;672054;3,07827676156494
Laos;7529477;218027;2,89564600569203
Lower middle income;3432097300;96915509;2,82379841037723
Sao Tome and Principe;227393;6296;2,76877476439468
Indonesia;275501344;6742061;2,44719713599655
Saudi Arabia;36408824;831502;2,28379252238413
Gabon;2388997;48981;2,05027465501212
Venezuela;28301700;552233;1,95123614482522
Timor;1341298;23422;1,74621896103625
Zambia;20017670;343250;1,71473503159958
Zimbabwe;16320539;264391;1,61998938883085
Lesotho;2305826;34490;1,49577635086082
Djibouti;1120851;15690;1,39982923689233
Mauritania;4736146;63439;1,33946461954509
Bangladesh;171186368;2037978;1,19050250543314
Myanmar;54179312;633993;1,17017543522886
Comoros;836783;9048;1,08128391709679
Equatorial Guinea;1674916;17130;1,02273785670446
Rwanda;13776702;133194;0,96680613400798
Africa;1426736614;13063768;0,915639780447942
Cambodia;16767851;138721;0,827303391472169
Uzbekistan;34627648;251660;0,726760304367192
Mozambique;32969520;233214;0,707362436577785
Pakistan;235824864;1578358;0,669292445770264
Kenya;54027484;342953;0,634775071147122
Algeria;44903228;271542;0,604727125631146
Senegal;17316452;88945;0,513644480982594
Ghana;33475870;171288;0,511676022161635
Afghanistan;41128772;209848;0,510221895270785
Gambia;2705995;12598;0,465558879450997
Egypt;110990096;515852;0,464773001007225
Papua New Guinea;10142625;46826;0,461675355245807
Cameroon;27914542;124679;0,446645336326851
Togo;8848700;39416;0,445443963520065
Malawi;20405318;88613;0,434264244252405
Guinea-Bissau;2105580;9134;0,433799713143172
Congo;5970430;25110;0,420572722567721
Burundi;12889583;53661;0,416312924941016
Ethiopia;123379928;500212;0,40542413025237
Uganda;47249588;170463;0,360771399742152
Cote d'Ivoire;28160548;88289;0,313520177235187
Low income;737604900;2288337;0,310238855517364
Angola;35588996;105298;0,295872353353267
Haiti;11585003;34202;0,295226509652177
Eritrea;3684041;10189;0,276571297659282
Guinea;13859349;38280;0,276203449382796
Central African Republic;5579148;15367;0,275436321101358
